time;dataset;distribution;seed;#parts;model;lr;num_epoch;hidden_layer_size;batch_size;method;process time
2023-06-22 05:56:46;dota2;quantity skew;6694;8;Dota2MLP;0.001;5;4;128;LeastCore;1195342.905680738
2023-06-22 05:56:52;dota2;quantity skew;6694;8;Dota2MLP;0.001;5;4;128;ShapleyValue;1201481.881178555
2023-06-22 05:56:54;dota2;label skew;6694;8;Dota2MLP;0.001;5;4;128;LeastCore;1192498.9412302
2023-06-22 05:57:01;dota2;label skew;6694;8;Dota2MLP;0.001;5;4;128;ShapleyValue;1199240.722471544
2023-06-22 06:13:45;dota2;quantity skew;6695;8;Dota2MLP;0.001;5;4;128;LeastCore;1015359.899249475
2023-06-22 06:13:52;dota2;quantity skew;6695;8;Dota2MLP;0.001;5;4;128;ShapleyValue;1017883.322620977
2023-06-22 06:14:09;dota2;label skew;6695;8;Dota2MLP;0.001;5;4;128;LeastCore;1019942.186817763
2023-06-22 06:14:12;dota2;label skew;6695;8;Dota2MLP;0.001;5;4;128;ShapleyValue;1017017.81731435
2023-06-22 06:29:44;dota2;quantity skew;6696;8;Dota2MLP;0.001;5;4;128;LeastCore;957429.16408001
2023-06-22 06:29:59;dota2;quantity skew;6696;8;Dota2MLP;0.001;5;4;128;ShapleyValue;966174.750341513
2023-06-22 06:30:32;dota2;label skew;6696;8;Dota2MLP;0.001;5;4;128;LeastCore;972119.3078231621
2023-06-22 06:30:35;dota2;label skew;6696;8;Dota2MLP;0.001;5;4;128;ShapleyValue;971790.170994459
2023-06-22 05:47:26;dota2;quantity skew;6694;8;Dota2MLP;0.001;5;4;128;MC-StructuredSampling-Shapley;367715.623357751
2023-06-22 05:48:06;dota2;label skew;6694;8;Dota2MLP;0.001;5;4;128;MC-StructuredSampling-Shapley;358538.040096519
2023-06-22 05:52:29;dota2;quantity skew;6694;8;Dota2MLP;0.001;5;4;128;MC-LeastCore;661763.955742229
2023-06-22 05:52:40;dota2;quantity skew;6695;8;Dota2MLP;0.001;5;4;128;MC-StructuredSampling-Shapley;261719.397242126
2023-06-22 05:52:41;dota2;label skew;6694;8;Dota2MLP;0.001;5;4;128;MC-LeastCore;654007.776238768
2023-06-22 05:53:48;dota2;label skew;6695;8;Dota2MLP;0.001;5;4;128;MC-StructuredSampling-Shapley;253946.678105031
2023-06-22 05:58:44;dota2;quantity skew;6696;8;Dota2MLP;0.001;5;4;128;MC-StructuredSampling-Shapley;298420.878071615
2023-06-22 06:00:20;dota2;label skew;6696;8;Dota2MLP;0.001;5;4;128;MC-StructuredSampling-Shapley;300119.091991819
2023-06-22 06:02:13;dota2;quantity skew;6695;8;Dota2MLP;0.001;5;4;128;MC-LeastCore;525399.575164057
2023-06-22 06:02:45;dota2;label skew;6695;8;Dota2MLP;0.001;5;4;128;MC-LeastCore;526823.981970926
2023-06-22 06:12:09;dota2;quantity skew;6696;8;Dota2MLP;0.001;5;4;128;MC-LeastCore;535217.543640794
2023-06-22 06:12:57;dota2;label skew;6696;8;Dota2MLP;0.001;5;4;128;MC-LeastCore;531295.507815039
2023-06-22 20:10:35;tictactoe;label skew;6694;8;TicTacToeMLP;0.005;60;16;16;MC-StructuredSampling-Shapley;470789.047375569
2023-06-22 20:10:37;tictactoe;quantity skew;6694;8;TicTacToeMLP;0.005;60;16;16;MC-StructuredSampling-Shapley;476403.66437139
2023-06-22 20:18:03;tictactoe;quantity skew;6695;8;TicTacToeMLP;0.005;60;16;16;MC-StructuredSampling-Shapley;381014.143139529
2023-06-22 20:18:10;tictactoe;label skew;6694;8;TicTacToeMLP;0.005;60;16;16;MC-LeastCore;902580.399357733
2023-06-22 20:18:12;tictactoe;quantity skew;6694;8;TicTacToeMLP;0.005;60;16;16;MC-LeastCore;900959.982604258
2023-06-22 20:18:24;tictactoe;label skew;6695;8;TicTacToeMLP;0.005;60;16;16;MC-StructuredSampling-Shapley;379928.926011464
2023-06-22 20:26:38;tictactoe;quantity skew;6696;8;TicTacToeMLP;0.005;60;16;16;MC-StructuredSampling-Shapley;455887.919558246
2023-06-22 20:27:18;tictactoe;label skew;6696;8;TicTacToeMLP;0.005;60;16;16;MC-StructuredSampling-Shapley;452657.420865835
2023-06-22 20:29:36;tictactoe;quantity skew;6694;8;TicTacToeMLP;0.005;60;16;16;ShapleyValue;1685421.2815601
2023-06-22 20:29:36;tictactoe;label skew;6694;8;TicTacToeMLP;0.005;60;16;16;ShapleyValue;1685402.563373906
2023-06-22 20:29:37;tictactoe;label skew;6694;8;TicTacToeMLP;0.005;60;16;16;LeastCore;1685432.512392873
2023-06-22 20:29:39;tictactoe;quantity skew;6694;8;TicTacToeMLP;0.005;60;16;16;LeastCore;1688822.239181479
2023-06-22 20:33:17;tictactoe;label skew;6695;8;TicTacToeMLP;0.005;60;16;16;MC-LeastCore;817160.831212155
2023-06-22 20:33:26;tictactoe;quantity skew;6695;8;TicTacToeMLP;0.005;60;16;16;MC-LeastCore;814399.603775083
2023-06-22 20:48:12;tictactoe;label skew;6696;8;TicTacToeMLP;0.005;60;16;16;MC-LeastCore;856466.221989737
2023-06-22 20:48:31;tictactoe;quantity skew;6696;8;TicTacToeMLP;0.005;60;16;16;MC-LeastCore;856128.788000579
2023-06-22 20:55:30;tictactoe;quantity skew;6695;8;TicTacToeMLP;0.005;60;16;16;ShapleyValue;1555833.353454069
2023-06-22 20:55:30;tictactoe;label skew;6695;8;TicTacToeMLP;0.005;60;16;16;ShapleyValue;1555408.730965112
2023-06-22 20:55:32;tictactoe;label skew;6695;8;TicTacToeMLP;0.005;60;16;16;LeastCore;1557338.830432753
2023-06-22 20:55:34;tictactoe;quantity skew;6695;8;TicTacToeMLP;0.005;60;16;16;LeastCore;1555789.477091181
2023-06-22 21:18:34;tictactoe;label skew;6696;8;TicTacToeMLP;0.005;60;16;16;ShapleyValue;1384455.374321405
2023-06-22 21:18:38;tictactoe;quantity skew;6696;8;TicTacToeMLP;0.005;60;16;16;ShapleyValue;1389130.895551834
2023-06-22 21:18:41;tictactoe;quantity skew;6696;8;TicTacToeMLP;0.005;60;16;16;LeastCore;1388873.873441537
2023-06-22 21:18:42;tictactoe;label skew;6696;8;TicTacToeMLP;0.005;60;16;16;LeastCore;1391257.006918416
2023-06-22 20:04:28;tictactoe;quantity skew;6694;8;TicTacToeMLP;0.005;60;16;16;Individual;18263.027809198
2023-06-22 20:04:40;tictactoe;label skew;6694;8;TicTacToeMLP;0.005;60;16;16;Individual;18338.019611259
2023-06-22 20:05:41;tictactoe;quantity skew;6694;8;TicTacToeMLP;0.005;60;16;16;LeaveOneOut;86866.476529505
